#Firmware: Tuareg V0.2 2020.10
Timestamp,fraction,event,Crank Position,Coil1,Coil2,Inj1,Inj2,Cam lobe,Phase valid,Phase Cyl1 Comp,time
ms,us,,,,,,,,,,us
6282793.0,355.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.2827935E9
6282797.0,15.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.2827971E9
6282797.0,22.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.2827971E9
6282797.0,31.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.2827971E9
6282797.0,41.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2827971E9
6282803.0,478.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828037E9
6282804.0,465.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828042E9
6282814.0,589.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828145E9
6282815.0,581.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828155E9
6282825.0,580.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828257E9
6282825.0,702.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828257E9
6282830.0,643.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828308E9
6282835.0,579.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828355E9
6282836.0,822.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.282837E9
6282836.0,902.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.282837E9
6282836.0,905.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.282837E9
6282837.0,810.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.282838E9
6282841.0,475.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.2828416E9
6282841.0,482.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.2828416E9
6282841.0,492.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.2828416E9
6282841.0,501.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828416E9
6282847.0,934.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2828477E9
6282848.0,920.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2828488E9
6282848.0,926.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.2828488E9
6282859.0,45.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.282859E9
6282859.0,51.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.282859E9
6282860.0,39.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.28286E9
6282870.0,17.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.2828703E9
6282870.0,159.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.2828703E9
6282875.0,99.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,6.2828749E9
6282880.0,40.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.28288E9
6282881.0,278.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.282881E9
6282881.0,358.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.2828815E9
6282881.0,361.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.2828815E9
6282882.0,266.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.282882E9
6282885.0,928.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.2828861E9
6282885.0,938.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,6.2828861E9
6282885.0,947.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.2828861E9
6282885.0,960.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2828861E9
6282892.0,390.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828923E9
6282893.0,376.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2828933E9
6282903.0,500.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2829036E9
6282904.0,492.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2829046E9
6282914.0,493.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2829143E9
6282914.0,614.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2829148E9
6282919.0,554.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2829194E9
6282924.0,492.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2829245E9
6282925.0,733.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.2829256E9
6282925.0,813.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,6.2829256E9
6282925.0,816.0,9.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.2829256E9
MARK 000
6295928.0,984.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,6.2959288E9
6295928.0,989.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.2959288E9
