#Firmware: Tuareg V0.2 2020.10
Coil1,Coil1,Injector1,Injector1,Phase valid,Phase Cyl1 Comp,CIS Lobe present,Crank Position,fraction,Timestamp,time
,,,,,,,,us,ms,ms
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,212.0,2741013.0,2741013.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,219.0,2741013.0,2741013.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,205.0,2741014.0,2741014.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,326.0,2741024.0,2741024.2
MARK 001
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,759.0,2744091.0,2744091.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,893.0,2744092.0,2744093.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,901.0,2744092.0,2744093.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,699.0,2744096.0,2744096.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,868.0,2744102.0,2744102.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,878.0,2744102.0,2744103.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,891.0,2744102.0,2744103.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,866.0,2744103.0,2744103.8
0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,990.0,2744113.0,2744114.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,977.0,2744114.0,2744115.0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,984.0,2744114.0,2744115.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,102.0,2744125.0,2744125.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,110.0,2744125.0,2744125.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,94.0,2744126.0,2744126.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,215.0,2744136.0,2744136.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,361.0,2744137.0,2744137.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,369.0,2744137.0,2744137.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,156.0,2744141.0,2744141.2
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,321.0,2744147.0,2744147.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,2744147.0,2744147.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,2744147.0,2744147.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,2744148.0,2744148.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,446.0,2744158.0,2744158.5
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,433.0,2744159.0,2744159.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,557.0,2744169.0,2744169.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,548.0,2744170.0,2744170.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,670.0,2744180.0,2744180.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,814.0,2744181.0,2744181.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,822.0,2744181.0,2744181.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,611.0,2744185.0,2744185.5
MARK 002
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,208.0,2747259.0,2747259.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,2747259.0,2747259.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,2747259.0,2747259.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,2747260.0,2747260.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,335.0,2747270.0,2747270.2
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,322.0,2747271.0,2747271.2
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,446.0,2747281.0,2747281.5
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,437.0,2747282.0,2747282.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,559.0,2747292.0,2747292.5
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,693.0,2747293.0,2747293.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,701.0,2747293.0,2747293.8
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,499.0,2747297.0,2747297.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,668.0,2747303.0,2747303.8
